"","time","S","I","R","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","S11","S12","S13","S14","S15","S16","S17","S18","S19","S20","I1","I2","I3","I4","I5","I6","I7","I8","I9","I10","I11","I12","I13","I14","I15","I16","I17","I18","I19","I20","R1","R2","R3","R4","R5","R6","R7","R8","R9","R10","R11","R12","R13","R14","R15","R16","R17","R18","R19","R20"
"1",1,198020,2000,0,9764,9984,9856,9971,10095,9949,9879,9728,9873,9992,9825,9851,10032,9762,9927,9967,9902,9916,9910,9837,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",2,197312,2575.3,132.7,9726.9,9946.4,9821.9,9933.5,10060.5,9917.8,9845.5,9690.1,9834.9,9955.8,9787.7,9817.9,9998.1,9727.3,9891.3,9932.3,9863,9884.7,9875.2,9801.2,129.7,131.7,126.6,130.2,126.9,126.2,126.8,130.9,132.1,129.5,130.4,127.2,128.5,128.5,129.6,126.8,133.2,124.3,127.9,128.3,7.4,5.9,7.5,7.3,7.6,5,6.7,7,6,6.7,6.9,5.9,5.4,6.2,6.1,7.9,5.8,7,6.9,7.5
"3",3,196413.1,3296,310.9,9685.8,9901.6,9775.4,9888.5,10014.5,9870.5,9800.3,9645.7,9789.6,9912.3,9745.7,9773,9952.6,9679.9,9844.8,9886.9,9817.8,9842,9830.3,9755.9,162.3,167.5,164.8,166.5,164,164.7,161.4,166.2,168.7,164.2,163.4,164.4,163.7,166.9,167.3,163.2,169.3,158.1,164.2,165.2,15.9,14.9,15.8,16,16.5,13.8,17.3,16.1,14.7,15.5,15.9,13.6,15.7,15.2,14.9,16.9,14.9,15.9,15.5,15.9
"4",4,195258.7,4216.6,544.7,9630,9840.1,9719.8,9830.1,9954.7,9811.2,9740.3,9591.2,9734.4,9850.9,9690.6,9715.9,9891.3,9620.3,9787.8,9831,9760.9,9783.8,9774,9700.4,206.3,216.4,209.2,212.7,213.3,212.2,210.2,207.9,212.3,214.1,205.3,210.1,212.2,217.2,210.6,210,214.1,204.7,207.5,210.3,27.7,27.5,27,28.2,27,25.6,28.5,28.9,26.3,27,29.1,25,28.5,24.5,28.6,26,27,27.5,28.5,26.3
"5",5,193789,5394.4,836.6,9557.3,9765.2,9654.3,9751.3,9880.1,9738.3,9663.9,9519.3,9666.3,9773.6,9619.9,9643.3,9818.2,9546.7,9711.7,9758.4,9688,9704.8,9701.2,9627.2,265.8,277.1,259,276.7,273.3,270.6,271.5,267.1,266.7,273.9,262.2,269.3,269.2,276.3,273.3,265.5,270.7,270.8,267.1,268.3,40.9,41.7,42.7,43,41.6,40.1,43.6,41.6,40,44.5,42.9,38.4,44.6,39,42,43.1,43.3,40.4,41.7,41.5
"6",6,191932.2,6881.2,1206.6,9462,9672.8,9562.2,9656.4,9786.2,9645.8,9571.1,9429.4,9571.4,9681.5,9527.1,9553,9722,9455.2,9618.8,9663.9,9597.6,9613,9609.9,9532.9,345.4,351.5,333.5,354.3,348.4,346.4,345.3,337.9,344.4,348,335.7,341.5,345.3,347.9,348.3,340.8,344.5,342.4,338.6,341.1,56.6,59.7,60.3,60.3,60.4,56.8,62.6,60.7,57.2,62.5,62.2,56.5,64.7,58.9,59.9,62.3,59.9,60.6,61.5,63
"7",7,189594.5,8739.9,1685.6,9339.5,9555.8,9445.4,9539.5,9670,9525.4,9458.3,9317.5,9456.2,9563.6,9406.1,9437.9,9602.2,9337.1,9498.8,9546.1,9481.7,9495.1,9498.4,9419.9,443.4,445.4,428.2,445.1,439.4,444.8,435,425.4,435.3,442.8,433.6,431.5,441.3,441.2,441.2,434.2,435.6,439.3,427.9,429.3,81.1,82.8,82.4,86.4,85.6,78.8,85.7,85.1,81.5,85.6,85.3,81.6,88.5,83.7,87,86.7,84.7,81.6,83.7,87.8
"8",8,186678.5,11051,2290.5,9193.6,9412.7,9303.5,9394,9519.8,9382.4,9316.2,9165.6,9311.7,9417.5,9265.7,9299.8,9454.3,9188.6,9348.3,9392.2,9336.2,9347.7,9353.6,9275.1,559.3,558.5,540.4,558,558.9,557.7,548.3,547.7,550,558.4,541.9,540.2,559.7,559.3,558.4,558.1,550.5,557.3,544.7,543.7,111.1,112.8,112.1,119,116.3,108.9,114.5,114.7,111.3,116.1,117.4,111,118,114.1,120.3,116.7,115.3,111,111.7,118.2
"9",9,182990.4,13973.3,3056.3,9009.2,9227.1,9119.1,9209.4,9329.2,9192.6,9123.7,8977,9135.7,9227.6,9091,9125.3,9267.7,9005.1,9162.8,9208.9,9154,9158.8,9177.7,9088.5,704.7,702.9,686.8,705,710.6,706.4,704.3,699.3,686.6,708.6,679,678.3,711,707.1,705.1,701.3,694.2,705.4,681.8,694.9,150.1,154,150.1,156.6,155.2,150,151,151.7,150.7,155.8,155,147.4,153.3,149.8,159.1,156.8,153.8,151.8,150.5,153.6
"10",10,178487,17515.4,4017.6,8781.8,8997.8,8902.1,8981.7,9099.6,8956.2,8895.4,8749.6,8911.4,8997.3,8875.8,8913.4,9040,8778.9,8938.8,8981.4,8929.5,8939.7,8956,8860.6,885.4,884.5,856.7,884.8,890.1,895.6,882.9,878.1,864,888.7,846.1,842.2,891,888.7,880.3,879.8,870.4,873.4,855.3,877.4,196.8,201.7,197.2,204.5,205.3,197.2,200.7,200.3,197.6,206,203.1,195.4,201,194.4,207.9,205.8,202.1,202.9,198.7,199
"11",11,173025.6,21777,5217.4,8502.4,8713.6,8629.2,8710.1,8819.1,8684.1,8626.7,8484.3,8637.4,8722.9,8602.8,8645.1,8759.5,8512.7,8661,8699.4,8661.3,8681.9,8685.5,8586.6,1104.6,1107,1071.6,1095.2,1108.9,1107.7,1088.7,1089.3,1076.4,1095.7,1063.3,1056.8,1107,1094.8,1097.6,1098.3,1080.1,1073.7,1070.5,1089.8,257,263.4,255.2,265.7,267,257.2,263.6,254.4,259.2,273.4,258.9,249.1,265.5,254.5,268.4,269.3,260.6,260.4,254,260.6
"12",12,166441.5,26852.2,6726.3,8171.3,8379.3,8297.1,8365.9,8484.3,8349.2,8295.8,8158.4,8314.1,8397.5,8285.6,8317.3,8437.8,8186.2,8321.7,8381,8317.7,8352.3,8362.8,8266.2,1358.7,1363.5,1329.6,1361.8,1365.6,1371.1,1343.1,1340.7,1323.2,1347,1302.3,1313.3,1357,1343.4,1358.3,1340.2,1349.1,1330.3,1319.3,1334.7,334,341.2,329.3,343.3,345.1,328.7,340.1,328.9,335.7,347.5,337.1,320.4,337.2,332.4,347,345.8,335.2,333.4,327.9,336.1
"13",13,158670.6,32757.8,8591.6,7780.6,7992.4,7908.5,7978.8,8090.2,7956,7899.3,7777.8,7932.1,8001.9,7895.8,7939.5,8049.2,7796,7931.2,7993.8,7923.8,7970.4,7969.8,7883.5,1655.6,1654.1,1625.2,1652.1,1661.8,1662.5,1644.2,1631.1,1613.1,1651.1,1599.1,1601.5,1655.5,1642.6,1656.6,1630.2,1652.5,1622.6,1621.2,1625.2,427.8,437.5,422.3,440.1,443,430.5,435.5,419.1,427.8,439,430.1,410,427.3,423.4,439.2,443,425.7,423,419,428.3
"14",14,149617.3,39560.8,10841.9,7338.7,7536.4,7461.8,7516.1,7626.4,7498.6,7458.2,7327.6,7483.1,7553.7,7445.5,7482.3,7588.4,7349.7,7475.9,7535.3,7468.4,7519.7,7510.4,7441.1,1988.4,1993.2,1959.1,1998.3,2012.7,2006.4,1977,1968.4,1954.8,1981.3,1937.6,1944.6,2003.3,1970,1993.5,1976.8,1996.7,1963.1,1974.4,1961.2,536.9,554.4,535.1,556.6,555.9,544,543.8,532,535.1,557,541.9,524.1,540.3,542.3,557.6,554.9,536.9,533.2,525.2,534.7
"15",15,139412,47039.1,13568.9,6836.8,7016.2,6955.5,7010.5,7101.1,6981.9,6941,6827.4,6969.3,7043.2,6943.7,6976.8,7065.7,6848.4,6953.5,7036.9,6963.6,7011.4,7003.2,6925.9,2356.1,2380.3,2325.9,2368.3,2402.6,2385.8,2356.5,2339.2,2332.5,2354.3,2304.8,2320.8,2382.3,2326.6,2376.3,2339.4,2362,2339.6,2341.4,2344.4,671.1,687.5,674.6,692.2,691.3,681.3,681.5,661.4,671.2,694.5,676.5,653.4,684,687,697.2,690.7,676.4,665,665.4,666.7
"16",16,128198.7,54985.5,16835.8,6282.4,6456.4,6389.6,6445,6527.5,6422.2,6385.8,6280.6,6414,6472.7,6384.9,6419,6497.5,6302.5,6388,6473.9,6392.8,6447.7,6443.9,6372.3,2750.5,2776.2,2730.2,2767.5,2807.8,2773.5,2750.6,2720.1,2728.1,2765.6,2701.9,2715.3,2786.9,2716.7,2773.1,2740.8,2769.5,2742.8,2738.7,2729.7,831.1,851.4,836.2,858.5,859.7,853.3,842.6,827.3,830.9,853.7,838.2,816.7,847.6,842.8,865.9,852.3,839.7,825.5,827.4,835
"17",17,116173.4,63218.2,20628.4,5690.7,5839.4,5805.6,5839.6,5913.3,5813.2,5788.7,5693.4,5814.1,5852.7,5791.7,5815.6,5889.1,5707.5,5789,5880.6,5790.9,5847.5,5831.2,5779.6,3146.2,3202.9,3132.5,3178,3233.9,3183.9,3167.1,3122.4,3136.8,3200.4,3097.3,3130,3209.2,3131.2,3181.8,3148.8,3174.6,3149,3163.4,3128.8,1027.1,1041.7,1017.9,1053.4,1047.8,1051.9,1023.2,1012.2,1022.1,1038.9,1036,1005.4,1033.7,1023.3,1056.2,1037.6,1036.5,1019.5,1015.4,1028.6
"18",18,103763.9,71276,24980.1,5075.7,5202.6,5185.8,5215.7,5284.3,5186.9,5168.4,5086.7,5200.3,5224.5,5178.5,5202.5,5255.5,5113.5,5169.6,5266.5,5169.7,5209.1,5209.7,5158.4,3542.7,3612.8,3539.9,3577.7,3641,3593.9,3572.8,3519.1,3534.1,3609.8,3495.6,3522.3,3622.7,3509.2,3582.1,3549.7,3576.9,3572.2,3565.8,3535.7,1245.6,1268.6,1230.3,1277.6,1269.7,1268.2,1237.8,1222.2,1238.6,1257.7,1250.9,1226.2,1253.8,1239.3,1275.3,1250.8,1255.4,1234.7,1234.5,1242.9
"19",19,91375.2,78781.4,29863.4,4454.7,4581.9,4565.3,4582.4,4644.3,4566.6,4559.8,4467.5,4592.8,4605.1,4559,4584.1,4618.3,4509.1,4569.6,4649.7,4545.5,4576.2,4588.3,4555,3915.6,3996.5,3914.5,3967,4027.2,3972.2,3938.2,3900.6,3892.5,3978,3884.8,3895.8,4011.5,3874.6,3941.4,3928.4,3954,3952.8,3935.7,3900.1,1493.7,1505.6,1476.2,1521.6,1523.5,1510.2,1481,1459.9,1487.7,1508.9,1481.2,1471.1,1502.2,1478.3,1516,1488.9,1502.5,1487,1486,1481.9
"20",20,79390.2,85329.2,35300.6,3863.3,3984.7,3952.7,3976.6,4030.2,3971.2,3959.4,3879.9,3995.2,3997.6,3970.3,3977.4,4012.6,3917.3,3961,4042,3956.8,3977.2,3996.2,3968.6,4247,4311,4256.7,4293.3,4368,4292.9,4275.4,4217.2,4226.4,4309.3,4205.5,4229.1,4339.9,4195.9,4280.3,4262.4,4263.1,4279.2,4259.9,4216.7,1753.7,1788.3,1746.6,1801.1,1796.8,1784.9,1744.2,1730.9,1751.4,1785.1,1749.2,1744.5,1779.5,1748.8,1785.7,1762.6,1782.1,1759.6,1753.9,1751.7
"21",21,68162.7,90661.2,41196.1,3314.5,3417.3,3387.5,3426.6,3471.6,3401.8,3381.5,3327,3429.1,3428.5,3423.4,3402,3442.5,3364.9,3419.7,3469.5,3404.8,3409.4,3441.5,3399.6,4504,4585.9,4530.7,4549.2,4624.9,4568.2,4559.6,4474.5,4499.5,4582.9,4457.9,4519,4600.3,4450.5,4521.3,4533.3,4522.1,4548.8,4525.3,4503.3,2045.5,2080.8,2037.8,2095.2,2098.5,2079,2037.9,2026.5,2044.4,2080.6,2043.7,2030,2089.2,2046.6,2086,2064.2,2075.1,2057.8,2043.2,2034.1
"22",22,57962.5,94634.5,47423,2823,2906.5,2879,2908.7,2957.6,2889.8,2872.6,2817.1,2929.5,2912.7,2914.7,2892.5,2920.7,2873,2905.8,2946.2,2887.9,2908.9,2928,2888.3,4684.1,4781.9,4721.2,4759.4,4823.7,4764.9,4763.2,4679.2,4695.3,4784.9,4658.9,4725.4,4804.4,4636.6,4731.4,4735.9,4725.5,4729.6,4724.2,4704.8,2356.9,2395.6,2355.8,2402.9,2413.7,2394.3,2343.2,2331.7,2348.2,2394.4,2351.4,2333.1,2406.9,2352.4,2389.8,2384.9,2388.6,2377.5,2357.8,2343.9
"23",23,48958.3,97090.3,53971.4,2372.1,2458.9,2436.3,2448.9,2495.9,2441.4,2436,2381,2477.2,2463.3,2463.8,2439.3,2465.7,2431.1,2448.7,2497,2447.1,2450.9,2461.3,2442.4,4813.6,4904,4836.3,4883.8,4961.3,4882,4867.1,4801,4816.4,4906.7,4788.6,4855.1,4919.3,4763.3,4859,4861.9,4829.7,4864.8,4858.7,4817.7,2678.3,2721.1,2683.4,2738.3,2737.8,2725.6,2675.9,2646,2679.4,2722,2672.6,2656.6,2747,2667.6,2719.3,2708.1,2725.2,2700.3,2690,2676.9
"24",24,41145.8,98209.6,60664.6,1990.5,2061.9,2053.7,2061,2099.7,2055,2041.6,2004.8,2079.3,2071,2073.3,2044.8,2072.6,2052.1,2052.7,2101.5,2054.1,2058.2,2067.1,2050.9,4859.4,4966.3,4880.3,4940.1,5004,4945.4,4931.2,4842.4,4880.7,4953.9,4850.7,4914.1,4979.5,4803.7,4930.2,4920.2,4890.7,4920.4,4921.2,4875.2,3014.1,3055.8,3022,3069.9,3091.3,3048.6,3006.2,2980.8,3013,3067.1,3001,2992.1,3079.9,3006.2,3044.1,3045.3,3057.2,3037.4,3021.7,3010.9
"25",25,34509.8,98085,67425.2,1673.1,1731.5,1718.6,1725.9,1762.5,1718.8,1713.5,1677.5,1747.6,1737.5,1741,1725.2,1727.9,1718.9,1728.3,1769.7,1723.8,1723.6,1726.1,1718.8,4832.3,4945.3,4885.5,4944.7,4991.3,4949.7,4919.9,4844.9,4872.4,4949.8,4844.8,4888.5,4990.4,4801.9,4915.1,4916.5,4892,4905.7,4925.9,4868.4,3358.6,3407.2,3351.9,3400.4,3441.2,3380.5,3345.6,3305.6,3353,3404.7,3339.2,3337.3,3413.7,3341.2,3383.6,3380.8,3386.2,3386.7,3358,3349.8
"26",26,29005.2,96848.2,74166.6,1411.8,1459.1,1443.3,1447.3,1480.6,1449.6,1437,1403,1464.4,1464.8,1454.8,1446.8,1450.7,1441.2,1464.6,1481.5,1446,1449.5,1465.2,1444,4759.7,4884.6,4830.5,4879.3,4927,4872.3,4858.6,4785.3,4820.6,4880.9,4807.3,4835.2,4923.7,4754,4841.2,4870.6,4828.7,4845.7,4836.9,4806.1,3692.5,3740.3,3682.2,3744.4,3787.4,3727.1,3683.4,3639.7,3688,3746.3,3662.9,3669,3757.6,3666.8,3721.2,3714.9,3727.3,3720.8,3707.9,3686.9
"27",27,24403.4,94799.5,80817.1,1179.6,1220,1213.5,1216.5,1250,1219.1,1207.1,1186.8,1229,1229.7,1222.9,1221.5,1221.2,1217.1,1231.3,1254.4,1209,1225.7,1235.2,1213.8,4668,4781.5,4739.6,4778.2,4814.3,4771.5,4750.8,4665.3,4722.4,4782.9,4720.2,4727.5,4811.7,4651.4,4731.9,4766.6,4739.2,4742.3,4731.1,4703.1,4016.4,4082.5,4002.9,4076.3,4130.7,4058.4,4021.1,3975.9,4021.6,4079.4,3981.9,4002,4099.1,3993.5,4063.8,4046,4053.8,4048,4043.7,4020.1
"28",28,20583.4,92042,87394.6,991.5,1033.6,1029.9,1027.6,1054.3,1035.1,1015.3,999.8,1038.6,1042.4,1025.4,1024.9,1031.1,1032.9,1040.2,1051.1,1017.2,1033.2,1039.7,1019.6,4536.7,4640.8,4602.5,4637.5,4682.2,4616.3,4610.5,4523.6,4587.3,4635.3,4589.3,4589.6,4670.5,4508.6,4594.6,4646.1,4602.8,4603.3,4593.8,4570.7,4335.8,4409.6,4323.6,4405.9,4458.5,4397.6,4353.2,4304.6,4347.1,4414.3,4310.3,4336.5,4430.4,4320.5,4392.2,4369.8,4382,4379.5,4376.5,4346.7
"29",29,17449.6,88824.7,93745.7,839.4,871.5,875.8,867.4,893.9,876.3,862.6,845.2,882.2,884.1,864.7,873.1,870,875.9,879.1,887.9,862.3,882,886.8,869.4,4376.1,4488.7,4438.5,4484.7,4519,4459.2,4445.4,4372.2,4424.5,4463.9,4429.2,4422.7,4505.8,4348.1,4433.8,4491.1,4445.8,4435.3,4431.3,4409.4,4648.5,4723.8,4641.7,4718.9,4782.1,4713.5,4671,4610.6,4666.3,4744,4631.1,4655.2,4756.2,4638,4714.1,4688,4693.9,4698.7,4691.9,4658.2
"30",30,14890,85240,99890,719.7,746.2,747.5,738.8,765.7,749.4,736.7,715.8,760.5,752.2,731.9,742.9,744.3,744.9,748.7,755.8,735.5,756.1,754.2,743.2,4186.9,4307.7,4257.4,4306.8,4335.1,4274.1,4257,4196,4235.2,4292.4,4257.4,4247.6,4326.6,4176.9,4257.3,4316.4,4262.6,4246.1,4262.6,4237.9,4957.4,5030.1,4951.1,5025.4,5094.2,5025.5,4985.3,4916.2,4977.3,5047.4,4935.7,4960.5,5061.1,4940.2,5021,4994.8,5003.9,5013.8,4993.2,4955.9
"31",31,12798.9,81447.7,105773.4,619.4,639.8,642.5,633.3,656.8,647.3,632.7,615.7,657.6,649.3,629.4,637.9,639.5,636.1,642.4,651.4,633.4,648,645.9,640.5,3987.7,4107.6,4073.1,4118.2,4142,4080.2,4069.4,4012.7,4037.7,4097.4,4067.8,4063.3,4130.4,3993.7,4071.3,4131.1,4082.6,4060.3,4075.4,4045.8,5256.9,5336.6,5240.4,5319.5,5396.2,5321.5,5276.9,5199.6,5277.7,5345.3,5227.8,5249.8,5362.1,5232.2,5313.3,5284.5,5286,5307.7,5288.7,5250.7
"32",32,11041.3,77638.2,111340.5,533.8,550.5,555.4,544.1,567.2,558.4,544.3,529.5,574.5,560.9,539.8,550.2,551.6,554.2,553,559.3,544,555.8,559.5,555.3,3791.5,3920.2,3881.4,3935.5,3940.6,3897.7,3867.7,3823.7,3846.3,3906.6,3884,3885.2,3937.6,3788,3888.1,3944.3,3895,3880.3,3867.5,3857,5538.7,5613.3,5519.2,5591.4,5687.2,5592.9,5567,5474.8,5552.2,5624.5,5501.2,5515.6,5642.8,5519.8,5585.9,5563.4,5563,5579.9,5583,5524.7
"33",33,9623.6,73670.4,116726,466.3,480.6,486.7,476.6,495.7,487.8,471.3,458.9,501.9,488.8,468.8,481.4,479.3,484.1,481.5,488.1,472.6,481.4,488.2,483.6,3592.6,3721.9,3682.8,3731.9,3743.3,3685.4,3679.8,3633,3653.5,3708.9,3685.9,3682.1,3739,3600.9,3693.7,3737.7,3685.3,3688.2,3668,3656.5,5805.1,5881.5,5786.5,5862.5,5956,5875.8,5827.9,5736.1,5817.6,5894.3,5770.3,5787.5,5913.7,5777,5851.8,5841.2,5844.1,5846.4,5853.8,5796.9
"34",34,8449.2,69762.4,121808.4,406.5,423.1,425.3,419.8,436.3,427,413.6,406.6,438.9,428.4,414.7,425,419.7,431.2,424.2,428.3,411.8,418.9,425,424.9,3397.2,3517.4,3493.9,3530.8,3551.4,3487.9,3479.9,3441.3,3458.9,3512.6,3476.1,3484.6,3540.7,3416.9,3495.8,3541.8,3492.7,3501.1,3479,3462.4,6060.3,6143.5,6036.8,6120.4,6207.3,6134.1,6085.5,5980.1,6075.2,6151,6034.2,6041.4,6171.6,6013.9,6107,6096.9,6097.5,6096,6106,6049.7
"35",35,7452.3,65948.4,126619.3,354.8,372,376.5,369.2,386.2,376.6,367.4,358.6,386.1,375.8,366.4,374,372,378.1,375.4,378.6,365.7,370.8,372.3,375.8,3220,3323.6,3296.6,3337,3361.6,3298.3,3285.5,3258.3,3276.1,3322.2,3279.3,3294.5,3345.3,3237.6,3303.7,3346,3299.8,3305.8,3293.8,3263.4,6289.2,6388.4,6282.9,6364.8,6447.2,6374.1,6326.1,6211.1,6310.8,6394,6279.3,6282.5,6414.7,6246.3,6347.9,6342.4,6336.5,6339.4,6343.9,6297.8
"36",36,6632,62248.5,131139.5,317.9,329.2,333.4,328.9,346.7,336.1,330.1,313,343.6,336.4,327.6,330.8,331,336.8,335.1,337.1,324.2,331.2,331.2,331.7,3041.1,3136.4,3106,3149.9,3170.3,3117.7,3096.2,3076.2,3096.1,3131.2,3095.6,3107.1,3151.2,3058.7,3119.7,3163.5,3114.6,3125.5,3104.9,3086.6,6505,6618.4,6516.6,6592.2,6678,6595.2,6552.7,6438.8,6533.3,6624.4,6501.8,6513.1,6649.8,6466.5,6572.2,6566.4,6563.2,6559.3,6573.9,6518.7
"37",37,5924.6,58673.1,135422.3,282.9,298.5,299.9,291.7,310.4,300.9,297.2,277.3,308.7,296.7,289.5,294.8,295.7,302.2,298.3,300.5,288.2,295.6,298.7,296.9,2864.4,2954.7,2922.9,2969.3,2986,2940.9,2910.5,2894.2,2913.9,2957.6,2926.8,2928.4,2974.3,2886.4,2942,2983.5,2939,2949.3,2920.8,2908.2,6716.7,6830.8,6733.2,6810,6898.6,6807.2,6771.3,6656.5,6750.4,6837.7,6708.7,6727.8,6862,6673.4,6786.7,6783,6774.8,6771.1,6790.5,6731.9
"38",38,5337.7,55238.1,139444.2,255.7,266.9,270.3,264.6,280,274.8,269.9,249.5,275.6,266.6,258.6,268.9,264.7,274.3,268.9,269.2,257.8,265.9,267.7,267.8,2695.7,2787.2,2751.6,2786.4,2807.3,2765.2,2737.8,2726.1,2741.1,2783.1,2763.4,2748.5,2800.4,2712.7,2774.2,2812.9,2783.4,2771.3,2754.3,2735.5,6912.6,7029.9,6934.1,7020,7107.7,7009,6971.3,6852.4,6956.3,7042.3,6903,6933.6,7066.9,6875,6983.9,6984.9,6960.8,6978.8,6988,6933.7
"39",39,4833,51959.2,143227.8,233.4,240.8,243.5,240.3,254.1,249.4,242.8,228.4,247.1,241.2,233.8,242.8,239.6,247,245.7,244.6,231.3,241.3,244.7,241.2,2536.4,2626.6,2588.4,2624,2646.3,2602,2576.9,2559.5,2586.1,2614.9,2600,2578.6,2631.4,2557.5,2605.3,2645.7,2614.1,2596.7,2587.5,2581.3,7094.2,7216.6,7124.1,7206.7,7294.6,7197.6,7159.3,7040.1,7139.8,7235.9,7091.2,7129.6,7261,7057.5,7176,7176.7,7156.6,7178,7177.8,7114.5
"40",40,4403,48792.6,146824.4,213.3,218.8,223.3,217.7,231.3,227.2,221.6,208.9,224.1,220.2,213.8,222.2,217.1,223.8,222,222.6,209.9,220.5,221.8,222.9,2383.9,2466.7,2437,2465.8,2479.2,2446.6,2416.7,2399.6,2427.1,2460.7,2437,2421.3,2475.4,2401,2449.2,2484.2,2460.4,2436.9,2425.1,2418.8,7266.8,7398.5,7295.7,7387.5,7484.5,7375.2,7340.7,7219.5,7321.8,7411.1,7274.2,7307.5,7439.5,7237.2,7355.8,7360.2,7331.7,7358.6,7363.1,7295.3
"41",41,4032.2,45791.9,150195.9,195.6,200.3,203.7,198.4,212,207.8,203.4,192.6,205.8,200.6,195.9,204.1,200.7,205.6,203.1,202.2,191.9,201.3,203.5,203.7,2239.1,2317.1,2287.5,2319.6,2326.2,2299,2267.8,2247.5,2280.3,2314.7,2283.9,2273.8,2309.1,2251.2,2301.9,2338.9,2304.7,2282.8,2276.2,2270.6,7429.3,7566.6,7464.8,7553,7656.8,7542.2,7507.8,7387.9,7486.9,7576.7,7445.2,7473.1,7622.2,7405.2,7522,7525.9,7505.4,7531.9,7530.3,7462.7
"42",42,3710.3,42960.6,153349.1,180,186.3,185.9,182.1,194.7,190.9,186.3,174.9,191.2,185.3,181.1,189.5,185,187.1,185.1,186.2,176.9,185.5,188.4,187.9,2093,2175.1,2144.2,2168.9,2181.5,2159.2,2133,2113.5,2140.6,2180.8,2144.3,2132.2,2167,2114.8,2156,2192,2166.3,2132.7,2133.9,2131.6,7591,7722.6,7625.9,7720,7818.8,7698.9,7659.7,7539.6,7641.2,7725.9,7599.6,7629.3,7780,7560.1,7685.9,7688.8,7658.8,7697.8,7687.7,7617.5
"43",43,3436.4,40287.6,156296,168.3,172.9,171.9,168.7,181.4,176.6,171.6,161.9,174.8,171.2,167.3,176.7,172.2,173.4,169.4,171.5,164.6,172.6,173.9,175.5,1961.7,2034.7,2010.2,2035,2047.5,2024.6,2007.7,1981.7,2005.9,2052.1,2007.6,2003.6,2029.3,1983.9,2023.5,2046.1,2032.4,1999.3,2003.8,1997,7734,7876.4,7773.9,7867.3,7966.1,7847.8,7799.7,7684.4,7792.3,7868.7,7750.1,7770.7,7930.5,7704.7,7834.1,7849.4,7805,7844.1,7832.3,7764.5
"44",44,3202.9,37719.1,159098,156.6,161.4,161,155.8,170.3,164.1,159.2,151.3,161.3,160.3,155.8,167,159.7,160.5,158.6,157.1,152.5,162.1,162.5,165.8,1837.8,1911.7,1886.2,1900.6,1917.9,1892.3,1877.1,1854.8,1883.6,1923.5,1884.4,1876.6,1901.2,1859,1890.5,1916.2,1899.8,1868,1879,1858.9,7869.6,8010.9,7908.8,8014.6,8106.8,7992.6,7942.7,7821.9,7928.1,8008.2,7884.8,7907.4,8071.1,7842.5,7977.9,7993.7,7949.7,7985.9,7968.5,7912.3
"45",45,2994.4,35334.8,161690.8,145.6,151.8,150.1,146.2,159.1,152.8,149.5,142.3,149.7,149.8,145.4,156.8,148.8,151,148.1,145.6,142.8,151.3,151.9,155.8,1722.8,1793.3,1766,1783.8,1791.6,1768.7,1752.5,1733.3,1766.3,1802.8,1768.2,1760.5,1782.8,1744.8,1777.2,1791.5,1779.3,1749.1,1756.8,1743.5,7995.6,8138.9,8039.9,8141,8244.3,8127.5,8077,7952.4,8057,8139.4,8011.4,8033.7,8200.4,7966.2,8101.7,8129.9,8079.9,8115.6,8101.3,8037.7
"46",46,2813.4,33094.2,164112.4,136.6,142.2,142.5,137.6,148.8,144,140.3,133.2,142.3,138.3,137.8,147.6,139.4,142.8,140,136.1,134.6,141.4,142.1,145.8,1619.2,1678.9,1649.2,1671,1675.5,1654.6,1647.7,1623.5,1643.9,1692.4,1657.8,1652.4,1671.6,1628.6,1664,1676.6,1664.7,1637.3,1647.1,1638.2,8108.2,8262.9,8164.3,8262.4,8370.7,8250.4,8191,8071.3,8186.8,8261.3,8129.4,8151,8321,8090.6,8223,8254.3,8202.7,8237.3,8220.8,8153
"47",47,2652.8,30953.3,166413.9,130,133.3,134.3,130,140.7,135.9,131.5,126.2,134.9,129.7,128.3,138.9,132.2,133.5,131.9,128.8,126.1,132.7,134.6,139.3,1508.5,1567.2,1542,1559.7,1565.9,1546.4,1541.8,1515.8,1536.1,1584.3,1555.7,1545.7,1568.3,1518.6,1555.6,1568.5,1565.8,1525.8,1546.2,1535.4,8225.5,8383.5,8279.7,8381.3,8488.4,8366.7,8305.7,8186,8302,8378,8241,8266.4,8431.5,8209.9,8339.5,8369.7,8310.1,8357.5,8329.2,8262.3
"48",48,2514.8,28960.5,168544.7,123.7,127.3,127.5,123.4,132.6,129.1,123.4,118.9,129.2,124.2,121.1,130.8,126.8,127.3,125.5,122,119,125.5,126.4,131.1,1409.9,1464.7,1437.9,1457.7,1467,1443.9,1448.2,1420.1,1434.8,1481.2,1457.2,1451,1471.1,1422,1454.2,1462,1465.2,1430.3,1446.3,1435.8,8330.4,8492,8390.6,8489.9,8595.4,8476,8407.4,8289,8409,8486.6,8346.7,8369.2,8534.1,8312.7,8447.3,8483,8417.8,8460.2,8437.3,8370.1
